CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W,CTDFLUOR_TSG,CTDFLUOR_TSG_FLAG_W,PAR,PAR_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,,,MG/M^3,,MG/M^3,,UE/m^2/sec,
206.0,2,6.825,2,33.8684,2,164.5,2,67.0,2,0.024,2,0.126,2,,2
207.0,2,6.8067,2,33.8702,2,164.0,2,67.0,2,0.024,2,0.121,2,,2
208.0,2,6.7751,2,33.8704,2,163.9,2,67.0,2,0.024,2,0.11800000000000001,2,,2
209.0,2,6.7587,2,33.8701,2,163.6,2,67.0,2,0.024,2,0.121,2,,2
210.0,2,6.7478,2,33.8699,2,163.0,2,67.0,2,0.027000000000000003,2,0.125,2,,2
211.0,2,6.7324,2,33.87,2,161.4,2,67.0,2,0.024,2,0.141,2,,2
212.0,2,6.7269,2,33.8704,2,159.5,2,67.0,2,0.024,2,0.12,2,,2
213.0,2,6.7082,2,33.8713,2,158.5,2,67.0,2,0.024,2,0.096,2,,2
214.0,2,6.6774,2,33.8721,2,157.9,2,67.0,2,0.027000000000000003,2,0.121,2,,2
215.0,2,6.6572,2,33.8709,2,157.5,2,66.9,2,0.024,2,0.127,2,,2
216.0,2,6.6457,2,33.8703,2,156.6,2,67.0,2,0.027000000000000003,2,0.12,2,,2
217.0,2,6.6337,2,33.8698,2,155.2,2,66.9,2,0.024,2,0.11699999999999999,2,,2
218.0,2,6.6255,2,33.8696,2,153.9,2,66.9,2,0.024,2,0.13,2,,2
219.0,2,6.6056,2,33.8704,2,152.9,2,66.9,2,0.024,2,0.11900000000000001,2,,2
220.0,2,6.5642,2,33.871,2,152.7,2,66.8,2,0.024,2,0.115,2,,2
221.0,2,6.5413,2,33.8727,2,152.7,2,66.8,2,0.024,2,0.139,2,,2
222.0,2,6.5059,2,33.8724,2,152.8,2,66.8,2,0.024,2,0.129,2,,2
223.0,2,6.4979,2,33.8717,2,152.4,2,66.8,2,0.026000000000000002,2,0.12300000000000001,2,,2
224.0,2,6.4963,2,33.8716,2,151.4,2,66.9,2,0.027999999999999997,2,0.124,2,,2
225.0,2,6.4955,2,33.8718,2,150.4,2,66.8,2,0.024,2,0.132,2,,2
226.0,2,6.4912,2,33.872,2,149.8,2,66.9,2,0.024,2,0.11900000000000001,2,,2
227.0,2,6.4604,2,33.8729,2,149.2,2,66.8,2,0.024,2,0.113,2,,2
228.0,2,6.4335,2,33.8727,2,148.2,2,66.8,2,0.024,2,0.12300000000000001,2,,2
229.0,2,6.4231,2,33.8731,2,147.3,2,66.8,2,0.024,2,0.13,2,,2
230.0,2,6.4001,2,33.8736,2,146.5,2,66.8,2,0.024,2,0.11800000000000001,2,,2
231.0,2,6.3815,2,33.8741,2,146.0,2,66.8,2,0.024,2,0.133,2,,2
232.0,2,6.3568,2,33.8745,2,145.7,2,66.8,2,0.024,2,0.125,2,,2
233.0,2,6.3441,2,33.8745,2,145.4,2,66.8,2,0.024,2,0.139,2,,2
234.0,2,6.3335,2,33.8749,2,145.3,2,66.8,2,0.024,2,0.138,2,,2
235.1,2,6.3113,2,33.8746,2,144.6,2,66.8,2,0.024,2,0.138,2,,2
