CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,CTDFLUOR_TSG,CTDFLUOR_TSG_FLAG_W,PAR,PAR_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,,,MG/M^3,,UE/m^2/sec,
156,2,7.6418,2,33.8892,2,96.2,2,65.5,2,0.109,2,,2
157,2,7.626,2,33.891,2,95.9,2,65.5,2,0.109,2,,2
158,2,7.6121,2,33.8939,2,94.5,2,65.4,2,0.109,2,,2
159,2,7.5603,2,33.9045,2,94.5,2,65.5,2,0.109,2,,2
160,2,7.5451,2,33.9063,2,94.5,2,65.6,2,0.109,2,,2
161,2,7.5424,2,33.909,2,94.9,2,65.6,2,0.109,2,,2
162,2,7.5381,2,33.9114,2,94.9,2,65.7,2,0.109,2,,2
163,2,7.5359,2,33.9121,2,94.9,2,65.7,2,0.109,2,,2
164,2,7.5338,2,33.913000000000004,2,95.0,2,65.8,2,0.109,2,,2
165,2,7.5334,2,33.9132,2,95.0,2,65.9,2,0.109,2,,2
166,2,7.5319,2,33.9135,2,95.0,2,65.9,2,0.109,2,,2
167,2,7.5202,2,33.9167,2,94.0,2,65.9,2,0.109,2,,2
169,2,7.4988,2,33.9217,2,92.7,2,65.8,2,0.109,2,,2
170,2,7.4972,2,33.9222,2,91.9,2,66.0,2,0.109,2,,2
171,2,7.4833,2,33.9241,2,91.4,2,66.0,2,0.109,2,,2
172,2,7.4707,2,33.926,2,91.7,2,66.1,2,0.109,2,,2
173,2,7.4645,2,33.9268,2,91.6,2,66.1,2,0.109,2,,2
174,2,7.4603,2,33.927,2,91.2,2,66.1,2,0.095,2,,2
175,2,7.4523,2,33.9276,2,91.5,2,66.1,2,0.10099999999999999,2,,2
176,2,7.4418,2,33.9276,2,91.2,2,66.1,2,0.10099999999999999,2,,2
177,2,7.4333,2,33.9278,2,91.2,2,66.0,2,0.10300000000000001,2,,2
178,2,7.4308,2,33.9282,2,89.8,2,65.9,2,0.109,2,,2
179,2,7.4159,2,33.9284,2,89.0,2,65.9,2,0.113,2,,2
180,2,7.409,2,33.9284,2,88.8,2,65.9,2,0.113,2,,2
181,2,7.4,2,33.9283,2,89.7,2,65.7,2,0.109,2,,2
182,2,7.39,2,33.9289,2,89.4,2,65.7,2,0.109,2,,2
183,2,7.3709,2,33.9289,2,97.4,2,65.7,2,0.095,2,,2
184,2,7.3591,2,33.9287,2,100.1,2,65.8,2,0.109,2,,2
185,2,7.3447,2,33.9284,2,100.5,2,65.9,2,0.109,2,,2
186,2,7.3268,2,33.9278,2,101.9,2,66.1,2,0.109,2,,2
187,2,7.3036,2,33.928000000000004,2,101.7,2,66.3,2,0.09300000000000001,2,,2
188,2,7.2874,2,33.9271,2,101.4,2,66.5,2,0.114,2,,2
189,2,7.2823,2,33.9274,2,100.9,2,66.9,2,0.11699999999999999,2,,2
190,2,7.2764,2,33.9279,2,100.1,2,67.0,2,0.109,2,,2
191,2,7.2703,2,33.9284,2,100.3,2,67.2,2,0.109,2,,2
192,2,7.2557,2,33.9304,2,99.5,2,67.2,2,0.106,2,,2
193,2,7.2334,2,33.9334,2,99.6,2,67.2,2,0.10400000000000001,2,,2
194,2,7.2196,2,33.9342,2,99.0,2,67.0,2,0.109,2,,2
195,2,7.2154,2,33.9342,2,98.2,2,67.0,2,0.105,2,,2
196,2,7.2099,2,33.9351,2,97.3,2,67.0,2,0.109,2,,2
197,2,7.1977,2,33.9364,2,97.3,2,67.0,2,0.107,2,,2
198,2,7.1838,2,33.9391,2,97.2,2,67.0,2,0.096,2,,2
199,2,7.172000000000001,2,33.9406,2,95.5,2,67.0,2,0.109,2,,2
200,2,7.1597,2,33.941,2,95.9,2,67.1,2,0.10400000000000001,2,,2
201,2,7.1468,2,33.9406,2,94.5,2,67.0,2,0.09699999999999999,2,,2
202,2,7.1459,2,33.9413,2,92.9,2,67.0,2,0.109,2,,2
203,2,7.1424,2,33.9429,2,92.8,2,67.0,2,0.109,2,,2
204,2,7.138999999999999,2,33.945,2,91.0,2,67.0,2,0.109,2,,2
205,2,7.1346,2,33.9481,2,89.5,2,66.9,2,0.109,2,,2
206,2,7.1262,2,33.9515,2,86.5,2,66.8,2,0.115,2,,2
207,2,7.1252,2,33.9542,2,84.5,2,66.8,2,0.109,2,,2
208,2,7.1116,2,33.9594,2,84.6,2,66.7,2,0.109,2,,2
209,2,7.1052,2,33.9606,2,83.8,2,66.5,2,0.109,2,,2
210,2,7.1049,2,33.9613,2,84.0,2,66.4,2,0.109,2,,2
211,2,7.1059,2,33.9615,2,83.8,2,66.4,2,0.115,2,,2
212,2,7.1065,2,33.9615,2,83.1,2,66.5,2,0.113,2,,2
213,2,7.1068,2,33.9623,2,83.1,2,66.4,2,0.109,2,,2
214,2,7.1066,2,33.9626,2,82.8,2,66.4,2,0.109,2,,2
215,2,7.099,2,33.9649,2,82.8,2,66.4,2,0.109,2,,2
216,2,7.0894,2,33.9664,2,83.3,2,66.4,2,0.109,2,,2
217,2,7.0813,2,33.9666,2,83.3,2,66.4,2,0.109,2,,2
218,2,7.0735,2,33.9672,2,83.5,2,66.4,2,0.109,2,,2
219,2,7.0666,2,33.968,2,83.2,2,66.4,2,0.109,2,,2
220,2,7.0604,2,33.9684,2,81.9,2,66.2,2,0.102,2,,2
221,2,7.0482,2,33.97,2,82.5,2,66.4,2,0.109,2,,2
222,2,7.0286,2,33.9717,2,82.0,2,66.6,2,0.109,2,,2
223,2,7.0259,2,33.9716,2,83.1,2,66.6,2,0.109,2,,2
224,2,7.0164,2,33.972,2,81.9,2,66.6,2,0.109,2,,2
225,2,7.0127,2,33.9723,2,82.7,2,66.6,2,0.109,2,,2
226,2,7.0067,2,33.9727,2,82.4,2,66.5,2,0.109,2,,2
227,2,6.9997,2,33.973,2,82.4,2,66.5,2,0.1,2,,2
228,2,6.9884,2,33.9737,2,82.9,2,66.6,2,0.109,2,,2
229,2,6.9612,2,33.9732,2,82.5,2,66.6,2,0.109,2,,2
230,2,6.9512,2,33.9724,2,83.1,2,66.6,2,0.109,2,,2
231,2,6.9448,2,33.9722,2,84.3,2,66.6,2,0.109,2,,2
232,2,6.9393,2,33.9721,2,86.7,2,66.6,2,0.10099999999999999,2,,2
233,2,6.9219,2,33.9711,2,88.6,2,66.6,2,0.109,2,,2
234,2,6.8777,2,33.9673,2,88.4,2,66.6,2,0.109,2,,2
235,2,6.8307,2,33.9626,2,89.1,2,66.8,2,0.109,2,,2
236,2,6.8152,2,33.9617,2,89.9,2,66.8,2,0.10099999999999999,2,,2
237,2,6.7972,2,33.96,2,89.3,2,66.9,2,0.09300000000000001,2,,2
238,2,6.7902,2,33.96,2,90.0,2,67.0,2,0.1,2,,2
239,2,6.794,2,33.9615,2,89.6,2,67.1,2,0.109,2,,2
240,2,6.7897,2,33.9628,2,89.4,2,67.1,2,0.109,2,,2
241,2,6.7799,2,33.9631,2,89.7,2,67.1,2,0.109,2,,2
242,2,6.7731,2,33.9629,2,89.8,2,67.1,2,0.096,2,,2
243,2,6.7703,2,33.9633,2,88.4,2,67.1,2,0.10400000000000001,2,,2
244,2,6.773,2,33.9687,2,82.4,2,66.8,2,0.109,2,,2
245,2,6.7744,2,33.9691,2,79.7,2,66.9,2,0.109,2,,2
246,2,6.7829,2,33.9716,2,77.5,2,67.0,2,0.109,2,,2
247,2,6.8003,2,33.9764,2,77.0,2,67.0,2,0.109,2,,2
248,2,6.8126,2,33.9809,2,75.9,2,66.8,2,0.09699999999999999,2,,2
249,2,6.815,2,33.9824,2,76.5,2,66.7,2,0.10099999999999999,2,,2
250,2,6.8153,2,33.9839,2,76.1,2,66.6,2,0.109,2,,2
251,2,6.8107,2,33.9851,2,77.1,2,66.5,2,0.109,2,,2
252,2,6.8029,2,33.9855,2,77.9,2,66.5,2,0.109,2,,2
253,2,6.7908,2,33.9863,2,77.7,2,66.4,2,0.109,2,,2
254,2,6.7833,2,33.9866,2,76.4,2,66.4,2,0.109,2,,2
255,2,6.7776,2,33.9869,2,75.5,2,66.4,2,0.109,2,,2
256,2,6.7696,2,33.9873,2,75.9,2,66.4,2,0.109,2,,2
257,2,6.7594,2,33.9878,2,76.6,2,66.5,2,0.109,2,,2
258,2,6.7572,2,33.9876,2,76.1,2,66.6,2,0.109,2,,2
259,2,6.7566,2,33.9876,2,75.5,2,66.6,2,0.09699999999999999,2,,2
260,2,6.755,2,33.9879,2,77.0,2,66.5,2,0.09300000000000001,2,,2
261,2,6.752999999999999,2,33.9877,2,76.1,2,66.5,2,0.09300000000000001,2,,2
262,2,6.7505,2,33.9876,2,75.8,2,66.5,2,0.09300000000000001,2,,2
263,2,6.7483,2,33.9879,2,76.2,2,66.4,2,0.107,2,,2
264,2,6.7455,2,33.9883,2,76.1,2,66.3,2,0.109,2,,2
265,2,6.7429,2,33.9887,2,74.9,2,66.4,2,0.109,2,,2
266,2,6.7410000000000005,2,33.989000000000004,2,75.2,2,66.5,2,0.109,2,,2
267,2,6.7374,2,33.9893,2,75.1,2,66.4,2,0.109,2,,2
268,2,6.7351,2,33.9896,2,75.4,2,66.4,2,0.109,2,,2
269,2,6.731,2,33.9892,2,75.6,2,66.4,2,0.109,2,,2
270,2,6.7288,2,33.9901,2,75.8,2,66.4,2,0.109,2,,2
271,2,6.7206,2,33.9894,2,74.0,2,66.5,2,0.109,2,,2
272,2,6.7136,2,33.9893,2,75.8,2,66.5,2,0.109,2,,2
273,2,6.7010000000000005,2,33.9889,2,75.6,2,66.5,2,0.109,2,,2
274,2,6.6753,2,33.9899,2,75.1,2,66.4,2,0.109,2,,2
275,2,6.6634,2,33.9914,2,73.5,2,66.6,2,0.109,2,,2
276,2,6.6602,2,33.9916,2,75.1,2,66.7,2,0.109,2,,2
277,2,6.6595,2,33.9914,2,74.6,2,66.8,2,0.109,2,,2
278,2,6.6569,2,33.9911,2,74.8,2,66.8,2,0.109,2,,2
279,2,6.6528,2,33.9911,2,74.8,2,66.7,2,0.109,2,,2
280,2,6.6492,2,33.9905,2,73.4,2,66.6,2,0.109,2,,2
281,2,6.6492,2,33.9906,2,74.6,2,66.8,2,0.109,2,,2
282,2,6.6489,2,33.9913,2,73.0,2,66.2,2,0.109,2,,2
283,2,6.6509,2,33.9927,2,73.4,2,66.8,2,0.109,2,,2
284,2,6.6489,2,33.9936,2,73.3,2,66.7,2,0.109,2,,2
285,2,6.6477,2,33.9941,2,72.7,2,66.6,2,0.107,2,,2
286,2,6.6426,2,33.9943,2,73.4,2,66.6,2,0.11699999999999999,2,,2
287,2,6.6361,2,33.9943,2,72.7,2,66.6,2,0.109,2,,2
288,2,6.6333,2,33.9949,2,72.8,2,66.6,2,0.109,2,,2
289,2,6.6136,2,33.9952,2,72.9,2,66.7,2,0.109,2,,2
290,2,6.6127,2,33.9952,2,72.3,2,66.7,2,0.109,2,,2
291,2,6.6111,2,33.995,2,73.1,2,66.7,2,0.115,2,,2
